المفرد,النوع,الجمع,الأمثلة
فَعَل,اسم,فُعْلان,الصحيح العين: بَلَد بُلْدان، حَمَل حُمْلان، أَحَد أُحْدان، أَسَد أُسْدان، حَبَش حُبْشان، ذَهَب ذُهْبان، خَشَب خُشْبان ... وشذ: دار دُوران ...
فَعَل,صفة,فُعْلان,‏(سماعي): خَلَق خُلْقان ...
فَعَل,اسم,فِعْلان,الواوي العين: تاج تِيجان، جار جِيران، نار نِيران، قاع قِيعان، خال خِيلان ... وشذ: ضَرَب ضِرْبان، بَرَق بِرْقان، شَبَث شِبْثان، فَتًى فِتْيان، صَدَح صِدْحان ...
فَعَل,صفة,فِعَلة,‏(سماعي): ذَكَر ذِكَرة ...
فَعَل,اسم,فِعْلة,‏(سماعي): جار جِيرة، وَلَد وِلْدة، فَتًى فِتْية، فَتًى فِتْوة، قاع قِيعة، نار نِيرة ...
فَعَل,اسم,فُعُول,‏(سماعي): أَسَد أُسُود، عَصًا عُصِيّ، شَبَح شُبُوح، شَجَن شُجُون، فَرَس فُرُوس، أَبَد أُبُود، غَنَم غُنُوم، رَجَب رُجُوب، ذَهَب ذُهُوب، عَسَل عُسُول، طَلَل طُلُول، قَفًا قُفِيّ، خال خُؤُول، سَمَك سُمُوك، خَرَش خُرُوش، فَتًى فُتُوّ، فَتًى فُتِيّ، ناب نُيُوب ...
فَعَل,صفة,فُعُول,‏(سماعي): ذَكَر ذُكُور ...
فَعَل,اسم,فُعُولة,‏(سماعي): خال خُؤُولة ...
فَعَل,صفة,فُعُولة,‏(سماعي): ذَكَر ذُكُورة ...
فَعَل,اسم,مَفاعِل,‏(سماعي): شَبَه مَشابِه ...
فَعَل,اسم,مَفاعِيل,‏(سماعي): ذَكَر مَذاكِير ....
فَعُل,اسم,أَفْعال,عَضُد أَعْضاد، عَجُز أَعْجاز ...
فَعُل,صفة,أَفْعال,‏(سماعي): يَقُظ أَيْقاظ، نَجُد أَنْجاد ...
فَعُل,اسم,أَفْعُل,‏(سماعي): ضَبُع أَضْبُع ...
فَعُل,اسم,فِعال,‏(سماعي): رَجُل رِجال، سَبُع سِباع، ضَبُع ضِباع ...
فَعُل,اسم,فُعْل,‏(سماعي): ضَبُع ضُبْع ...
فَعِل,اسم,أَفْعال,كَبِد أَكْباد، كَتِف أَكْتاف، نَمِر أَنْمار، وَعِل أَوْعال، فَخِذ أَفْخاذ ...
فَعِل,صفة,أَفْعال,‏(سماعي، وقيل قياسي): فَرِح أَفْراح، نَكِد أَنْكاد، يَقِظ أَيْقاظ...
فَعِل,اسم,أَفْعُل,‏(سماعي): نَمِر أَنْمُر ...
فَعِل,اسم,فِعال,‏(سماعي): نَمِر نِمار ...
فَعِل,صفة,فِعال,‏(سماعي، وقيل قياسي): فَرِح فِراح، غَرِث غِراث ...
فَعِل,اسم,فِعالة,‏(سماعي): نَمِر نِمارة ...
فَعِل,صفة,فَعالَى,‏(سماعي): وَجِع وَجاعَى، حَذِر حَذارَى، حَبِط حَباطَى، رَجِل رَجالَى، بَغِر بَغارَى ...
فَعِل,اسم,فُعُل,‏(سماعي): نَمِر نُمُر، وَعِل وُعُل ...
فَعِل,صفة,فُعُل,‏(سماعي): خَشِن خُشُن ...
فَعِل,صفة,فُعْل,‏(سماعي): لَسِن لُسْن ...
فَعِل,صفة,فُعَلاء,‏(سماعي): عَدِم عُدَماء ...
فَعِل,اسم,فِعَلة,‏(سماعي): كَتِف كِتَفة ...
فَعِل,صفة,فَعْلَى,إذا دلّ على آفة من موت أو عيب أو نقص: وَجِع وَجْعَى، هَرِم هَرْمَى، زَمِن زَمْنَى، سَعِر سَعْرَى، ضَمِن ضَمْنَى ...
فَعِل,اسم,فُعُول,غير واوي العين: مَلِك مُلُوك، نَمِر نُمُور، وَعِل وُعُول، كَبِد كُبُود ...
فَعِل,اسم,فُعُولة,‏(سماعي): نَمِر نُمُورة ...
فَعْل,اسم,أَفاعِل,‏(سماعي): رَهْط أَراهِط، حَظّ أَحاظٍ ...
